label,KLK3,ITIH2,SULT1C3,SCGB2A1,KLK2,LRP2,KLK3,CELSR1,SLC26A3,GRIK1,CXCL13,SCGB1D2,CUX2,GRIK3,KLK2,SCGB2A2,UGT2B28,CAPN8,SLC26A3,PGR,GPR88,CPA3,TENM1,GPC3,PGR,DCHS2,GP2,ELOVL2,SOX11,ALOX15B,SUSD3,SLCO1A2,UGT2B11,CYP4Z1,RNF150,CYP4F8,CITED1,SYNPO2,ATP1A2,PDZK1,TMEM158,RANBP3L,PIWIL4,SULT1C2P1,FGFR2,ROBO2,KIAA1549L,RAB3B,CLEC7A,ADCY2,SPHKAP,CNMD,SERHL2,HPGD,GLYATL1,FGFR4
0,1,92,0,172,6,139,1,641,0,33,1,783,0,97,6,7389,0,365,0,122,0,809,4,10,122,12,0,48,56,23,66,44,3,4,17,52,251,68,3,50,20,10,22,0,229,6,15,66,36,6,103,13,46,169,3,16
1,53,7,0,84,239,47,53,439,315,0,0,184,134,15,239,2230,13,48,315,39,176,18,23,1351,39,33,554,5,81,610,12,113,159,2,21,4384,47,95,106,12,12,472,38,1,530,378,7,461,112,1058,179,95,273,69,44,177
2,10,41,0,54,41,70,10,230,8,8,11,181,0,18,41,877,0,151,8,62,2,547,27,12,62,142,0,14,302,55,22,185,8,7,82,16,73,413,2,28,54,8,28,0,889,1,62,45,118,32,320,24,53,146,4,8
0,0,60,0,144,0,345,0,1423,1,43,0,1602,0,177,0,11139,0,372,1,207,1,48,5,0,207,5,0,39,5,7,339,1,0,0,24,48,1366,44,5,192,6,0,1,0,77,0,17,17,31,12,47,7,54,4,0,23
1,576,4,6,188,511,50,576,165,1121,2,3,645,55,45,511,3906,101,24,1121,7,106,19,0,840,7,6,311,4,14,1437,2,14,708,5,15,912,5,52,417,3,10,153,35,7,228,15,12,107,110,258,222,69,2428,165,35,474
2,1,49,0,40,3,182,1,314,12,68,5,397,0,37,3,1828,0,278,12,109,0,112,20,16,109,36,2,51,129,7,32,153,2,4,90,29,48,320,2,75,43,14,45,0,496,1,67,84,173,6,737,2,82,30,6,7
0,0,3,0,70,0,317,0,303,0,9,0,286,0,90,0,1412,0,21,0,39,0,82,23,6,39,71,0,21,26,2,15,81,1,3,24,8,60,106,1,17,23,0,13,0,547,0,28,33,79,19,227,6,46,57,1,7
1,9,0,0,57,6,28,9,140,91,3,0,197,3,2,6,836,30,4,91,1,7,56,23,186,1,64,81,0,35,79,2,28,187,1,28,362,6,63,43,2,18,48,30,3,476,4,18,65,124,79,213,10,184,118,11,34
2,0,0,0,87,0,44,0,295,3,3,0,359,1,130,0,1716,0,19,3,11,0,0,50,2,11,339,0,3,36,0,8,185,0,0,88,2,2,168,0,4,55,2,25,0,853,0,78,55,271,52,333,6,82,14,4,6
0,0,4,0,392,2,478,0,253,0,13,0,1634,0,55,2,10716,0,45,0,71,0,13,10,11,71,54,0,16,50,0,6,59,1,4,54,0,1,72,1,2,30,2,9,1,701,6,25,54,96,28,211,3,78,27,2,14
1,348,1,1,171,228,863,348,216,141,0,0,449,18,28,228,2779,189,7,141,10,37,4,11,240,10,52,68,3,31,260,2,23,576,0,53,432,0,55,144,7,21,76,23,16,831,4,6,165,116,135,118,16,520,163,16,141
2,26,7,0,283,4,892,26,409,8,18,7,1086,2,310,4,6289,0,75,8,31,3,73,32,23,31,177,2,31,85,24,17,72,4,1,90,1,9,81,5,26,59,2,10,0,1313,1,60,49,187,47,245,5,132,38,0,21
0,0,3,0,202,0,61,0,86,4,4,11,869,0,6,0,6577,0,24,4,15,0,3,1,4,15,14,0,4,16,2,2,24,0,4,27,0,2,27,0,0,3,2,8,1,231,0,23,3,24,14,34,1,3,0,7,1
1,300,0,0,187,182,7,300,155,244,2,7,780,55,0,182,3085,226,8,244,8,98,1,14,800,8,13,133,2,43,260,1,50,704,3,84,623,0,26,59,1,15,131,58,16,1110,46,30,98,152,190,130,73,67,111,29,55
1,238,2,0,162,181,3,238,133,202,4,1,624,90,0,181,2859,169,1,202,7,64,0,5,1018,7,23,237,1,6,396,0,17,661,3,38,928,0,20,83,1,19,162,46,9,547,39,14,169,115,298,73,106,82,90,31,102
1,120,3,0,91,63,1,120,80,101,2,2,301,30,0,63,1320,82,0,101,1,56,0,12,368,1,22,75,6,53,108,0,52,350,4,87,387,0,19,18,2,12,84,36,10,710,32,16,56,123,95,121,42,30,40,20,6
0,0,0,0,130,0,149,0,165,0,6,14,649,0,79,0,4886,0,30,0,94,1,1,3,10,94,9,0,30,17,0,3,39,1,22,22,9,9,23,1,33,6,1,6,0,258,4,27,1,39,6,76,1,4,2,1,0
2,0,0,0,55,0,62,0,108,0,6,0,283,0,59,0,959,0,16,0,8,1,0,25,1,8,40,0,10,14,0,2,91,0,1,73,0,5,40,0,16,27,0,12,0,699,1,56,0,57,19,74,3,8,6,5,2
2,1,0,0,81,3,96,1,113,5,10,15,315,0,73,3,1269,0,22,5,16,0,2,33,5,16,37,3,23,14,3,2,60,0,0,70,1,11,51,2,23,15,0,19,0,583,1,52,1,55,10,63,0,9,7,0,1
2,0,1,0,140,0,68,0,115,5,6,4,427,0,29,0,2383,0,12,5,14,0,0,62,1,14,152,3,13,45,0,1,134,2,3,162,0,3,126,0,5,56,9,49,0,866,0,120,0,178,18,146,0,2,11,6,0
1,433,1,108,108,464,3,433,46,190,0,25,414,81,2,464,4433,476,15,190,11,76,2,7,518,11,5,127,0,15,761,0,2,1143,6,26,684,0,21,80,2,2,100,20,62,185,22,10,148,38,219,24,30,414,166,32,51
0,0,4,0,50,1,12,0,32,1,1,0,268,0,4,1,1960,4,52,1,27,0,0,1,0,27,3,3,11,5,12,0,4,40,294,4,3,3,5,0,6,5,3,0,2,36,0,6,2,11,13,8,0,20,0,1,4
2,10,1,0,14,21,17,10,20,13,4,22,46,0,4,21,281,5,27,13,18,0,1,3,9,18,9,6,14,12,21,0,21,45,28,10,5,5,7,4,15,1,6,5,2,88,1,5,1,12,8,19,3,15,2,0,2
2,28,1,2,20,15,14,28,32,18,6,106,84,0,4,15,644,5,28,18,27,1,3,5,20,27,15,7,17,39,28,4,46,62,19,27,4,1,40,7,8,8,21,6,15,123,0,14,2,31,7,27,4,20,5,2,1
0,0,4,0,116,0,112,0,76,0,19,0,228,0,38,0,6077,2,79,0,328,0,0,0,0,328,0,1,92,0,3,0,6,24,8,9,4,7,11,2,122,2,0,0,0,49,0,12,0,12,2,13,0,1,0,0,0
1,426,0,248,82,406,1,426,30,479,0,104,402,86,0,406,5450,871,13,479,19,110,0,4,528,19,4,117,6,8,750,0,6,2614,2,27,508,0,21,69,2,4,186,18,83,163,37,13,193,83,144,28,47,316,449,29,14
